"","temperature","X","environment (biome)","environment (feature)","environment (material)","environmental package","depth","salinity","Y","instrument model","collection date","project name","geographic location (depth)","sequencing method","NCBI sample classification","ENA checklist","event date/time","marine region","protocol label","sampling campaign","sampling platform","event label","last update date","sample collection device","sampling station","size fraction lower threshold","size fraction upper threshold","nitrate sensor","oxygen sensor","accession","sample-name","sample-desc","biome"
"ERS1972322","-1.3274","-174.8173","marine biome","marine water body","seawater","water","55.0","30.2422","83.75495","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972322","26-2_170427","Station 26 seawater, depth 55m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972306","-1.2533","-174.8173","marine biome","marine water body","seawater","water","25.0","28.7392","83.75495","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972306","26-1_170427","Station 26 seawater, depth 25m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972327","-1.4216","-174.8173","marine biome","marine water body","seawater","water","100.0","33.5114","83.75495","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972327","26-4_170506","Station 26 seawater, depth 100m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972412",NA,"-149.7905","marine biome","marine water body","seawater","water","5.0","999.0","82.50385","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972412","KD085_170322","Station 46 seawater, depth 5m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972360","-1.3712","-179.99976","marine biome","marine water body","seawater","water","57.0","31.7561","87.53011","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972360","30-3_170427","Station 30 seawater, depth 57m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972396",NA,"-150.0","marine biome","marine water body","sea ice","water","0.3","999.0","85.0","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972396","KD042_170322","Station 42 sea ice, depth 0.3m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972362","-1.5275","-179.99976","marine biome","marine water body","seawater","water","73.0","32.965","87.53011","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972362","30-4_170427","Station 30 seawater, depth 73m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972307","-1.2533","-174.8173","marine biome","marine water body","seawater","water","25.0","28.7392","83.75495","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972307","26-1_170506","Station 26 seawater, depth 25m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972407",NA,"-149.97226","marine biome","marine water body","sea ice","water","0.5","999.0","85.16033","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972407","KD060A_170407","Station 43 sea ice, depth 0.5m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972398",NA,"-149.97226","marine biome","marine water body","sea ice","water","0.1","999.0","85.16033","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972398","KD055_170322","Station 43 sea ice, depth 0.1m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972415",NA,"-149.7905","marine biome","marine water body","sea ice","water","0.7","999.0","82.50385","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972415","KD088_170407","Station 46 sea ice, depth 0.7m","root:Environmental:Aquatic:Marine:Oceanic"
